"Index" "VZ" "MRK" "CSCO" "PG" "JPM" "KO" "MSFT" "TRV" "NKE" "WBA" "MCD" "WMT" "HD" "BA" "AXP" "UTX" "PFE" "IBM" "CVX" "JNJ" "UNH" "MMM" "DIS" "INTC" "AAPL" "XOM" "CAT"
"1991-02-26" 3.705719 5.564433 0.152369 2.750381 1.322145 1.812193 1.021206 4.448118 0.040768 1.488032 3.895548 5.79737 2.178297 11.418005 2.107077 0.80401 0.469883 10.814292 3.022087 3.328126 0.770562 5.937522 6.338928 0.783085 0.290823 2.360217 1.534843
"1991-02-27" 3.724674 5.639629 0.147908 2.680595 1.332161 1.824985 1.056333 4.39814 0.0414 1.512131 3.911446 5.738615 2.223211 11.696498 2.107077 0.808208 0.482338 10.908059 3.1162 3.389855 0.789205 6.01375 6.476019 0.779131 0.290823 2.448039 1.634112
"1991-02-28" 3.715196 5.584942 0.153741 2.66828 1.322145 1.786609 1.041278 4.4148 0.040452 1.506105 4.022749 5.542757 2.189525 11.944036 2.085355 0.835498 0.475545 10.730945 3.147571 3.379568 0.748812 5.996809 6.443378 0.755401 0.285831 2.420595 1.668473
"1991-03-01" 3.705719 5.591777 0.156487 2.692909 1.382243 1.799401 1.061351 4.48144 0.040768 1.524178 4.07045 5.660271 2.195141 12.191588 2.204828 0.822903 0.474978 10.918478 3.178942 3.374423 0.745705 6.047632 6.469492 0.755401 0.288327 2.448039 1.679928
"1991-03-04" 3.639375 5.695151 0.158546 2.729855 1.372227 1.765289 1.073897 4.448118 0.041822 1.524178 4.13405 5.621099 2.228825 12.253471 2.237411 0.8313 0.477809 10.887218 3.152799 3.338416 0.767455 6.047632 6.371568 0.759356 0.291447 2.398639 1.6952
"1991-03-05" 3.639375 5.750445 0.164037 2.78322 1.422308 1.816458 1.119061 4.514757 0.041927 1.542251 4.258204 5.79737 2.324265 12.439135 2.324302 0.848094 0.485735 11.126845 3.158029 3.431006 0.798526 6.132333 6.528246 0.812748 0.315162 2.409617 1.729561
"1991-03-06" 3.591989 5.715889 0.156487 2.79143 1.44234 1.786609 1.076406 4.464779 0.042454 1.536228 4.242134 5.719026 2.341108 12.439135 2.356884 0.856491 0.478375 11.074756 3.147571 3.6059 0.810954 6.140803 6.613116 0.814725 0.314538 2.409617 1.676109
"1991-03-07" 3.610943 5.764266 0.15031 2.799642 1.44234 1.782345 1.043787 4.48144 0.043507 1.542251 4.386754 5.738615 2.341772 12.439135 2.280857 0.852292 0.485735 11.043503 3.158029 3.719068 0.786097 6.149274 6.632699 0.818681 0.335757 2.426084 1.672292
"1991-03-08" 3.667807 5.840299 0.152369 2.857112 1.422308 1.782345 1.028733 4.448118 0.044455 1.542251 4.370684 5.679853 2.291108 12.253471 2.302579 0.845994 0.486867 10.939311 3.147571 3.693347 0.776776 6.183154 6.65228 0.814725 0.324524 2.431574 1.672292
"1991-03-11" 3.648856 5.902501 0.145505 2.79143 1.495568 1.841485 0.996115 4.514757 0.048121 1.524178 4.226066 5.719026 2.268592 11.974987 2.302579 0.843895 0.484036 10.762198 3.105743 3.631619 0.748812 6.098453 6.58047 0.723761 0.317035 2.437062 1.6952
"1991-03-12" 3.573031 5.833385 0.135896 2.775012 1.443275 1.828205 0.960987 4.523088 0.048006 1.530204 4.354615 5.679853 2.217927 11.820266 2.226551 0.835498 0.468185 10.585089 3.168486 3.600759 0.770562 6.166214 6.462964 0.715851 0.313914 2.469995 1.664655
"1991-03-13" 3.601468 5.861029 0.143446 2.787327 1.464193 1.881325 1.00866 4.631375 0.047545 1.548277 4.515302 5.777782 2.291108 11.974987 2.313439 0.833399 0.465355 10.762198 3.210315 3.662483 0.810954 6.140803 6.534774 0.753423 0.330765 2.513906 1.676109
"1991-03-14" 3.573031 5.964704 0.135896 2.820167 1.453735 1.89903 0.983569 4.581397 0.047545 1.554301 4.499232 5.699441 2.268592 11.974987 2.367746 0.827101 0.472714 10.678852 3.152799 3.775651 0.814061 6.183154 6.462964 0.751446 0.325772 2.502928 1.672292
"1991-03-15" 3.6299 5.971614 0.131778 2.816061 1.443275 1.89903 0.969769 4.548076 0.046049 1.566349 4.434958 5.79737 2.240444 11.882155 2.411191 0.8292 0.473846 10.55383 3.199857 3.852808 0.810954 6.157741 6.436849 0.747491 0.330765 2.508418 1.630294
"1991-03-18" 3.734151 5.854121 0.140014 2.824272 1.453735 1.912311 0.996115 4.531417 0.043746 1.542251 4.499232 5.863671 2.246073 11.882155 2.389468 0.820804 0.467619 10.658018 3.158029 3.816803 0.866882 6.140803 6.436849 0.743536 0.338254 2.475485 1.592113
"1991-03-19" 3.696241 5.612213 0.14276 2.725749 1.443275 1.885752 0.993605 4.498096 0.042134 1.536228 4.483166 5.784966 2.223557 11.665557 2.335162 0.810307 0.45573 9.595342 3.236457 3.729355 0.897953 6.07304 6.325871 0.715851 0.346991 2.475485 1.538661
